omitted_review_row_index	remaining_clusters	scope	target	metric	reviewed_model_assessments	positive_model_assessments	auc	best_threshold	best_f1	precision	recall	true_positive	false_positive	false_negative
22	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	16	0.9129	5.0	0.64	0.4706	1.0	16	18	0
23	29	overall	human_decision_change_yes	wer	87	16	0.7029	42.59	0.4737	0.4091	0.5625	9	13	7
23	29	overall	human_decision_change_yes	cer	87	16	0.732	15.69	0.4615	0.3061	0.9375	15	34	1
23	29	overall	human_decision_change_yes	sres_total	87	16	0.8952	270.0	0.6512	0.5185	0.875	14	13	2
23	29	overall	human_decision_change_yes	ceis_max	87	16	0.908	5.0	0.6275	0.4571	1.0	16	19	0
23	29	overall	human_decision_change_yes_or_uncertain	wer	87	16	0.7029	42.59	0.4737	0.4091	0.5625	9	13	7
23	29	overall	human_decision_change_yes_or_uncertain	cer	87	16	0.732	15.69	0.4615	0.3061	0.9375	15	34	1
23	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	16	0.8952	270.0	0.6512	0.5185	0.875	14	13	2
23	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	16	0.908	5.0	0.6275	0.4571	1.0	16	19	0
24	29	overall	human_decision_change_yes	wer	87	16	0.7232	42.59	0.5	0.45	0.5625	9	11	7
24	29	overall	human_decision_change_yes	cer	87	16	0.7557	16.42	0.4746	0.3256	0.875	14	29	2
24	29	overall	human_decision_change_yes	sres_total	87	16	0.8952	270.0	0.6512	0.5185	0.875	14	13	2
24	29	overall	human_decision_change_yes	ceis_max	87	16	0.908	5.0	0.6275	0.4571	1.0	16	19	0
24	29	overall	human_decision_change_yes_or_uncertain	wer	87	16	0.7232	42.59	0.5	0.45	0.5625	9	11	7
24	29	overall	human_decision_change_yes_or_uncertain	cer	87	16	0.7557	16.42	0.4746	0.3256	0.875	14	29	2
24	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	16	0.8952	270.0	0.6512	0.5185	0.875	14	13	2
24	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	16	0.908	5.0	0.6275	0.4571	1.0	16	19	0
25	29	overall	human_decision_change_yes	wer	87	16	0.7126	42.59	0.4865	0.4286	0.5625	9	12	7
25	29	overall	human_decision_change_yes	cer	87	16	0.7416	16.42	0.4667	0.3182	0.875	14	30	2
25	29	overall	human_decision_change_yes	sres_total	87	16	0.8952	270.0	0.6512	0.5185	0.875	14	13	2
25	29	overall	human_decision_change_yes	ceis_max	87	16	0.908	5.0	0.6275	0.4571	1.0	16	19	0
25	29	overall	human_decision_change_yes_or_uncertain	wer	87	16	0.7126	42.59	0.4865	0.4286	0.5625	9	12	7
25	29	overall	human_decision_change_yes_or_uncertain	cer	87	16	0.7416	16.42	0.4667	0.3182	0.875	14	30	2
25	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	16	0.8952	270.0	0.6512	0.5185	0.875	14	13	2
25	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	16	0.908	5.0	0.6275	0.4571	1.0	16	19	0
26	29	overall	human_decision_change_yes	wer	87	16	0.7104	42.59	0.4865	0.4286	0.5625	9	12	7
26	29	overall	human_decision_change_yes	cer	87	16	0.7408	15.69	0.4688	0.3125	0.9375	15	33	1
26	29	overall	human_decision_change_yes	sres_total	87	16	0.8952	270.0	0.6512	0.5185	0.875	14	13	2
26	29	overall	human_decision_change_yes	ceis_max	87	16	0.908	5.0	0.6275	0.4571	1.0	16	19	0
26	29	overall	human_decision_change_yes_or_uncertain	wer	87	16	0.7104	42.59	0.4865	0.4286	0.5625	9	12	7
